nodes,edges,solution method,solutions seen,adds,solution cost,time
3,2,exhaustive,3,8,3.1622776601683795,4.649162292480469e-05
3,2,greedy,1,2,3.1622776601683795,4.315376281738281e-05
3,3,exhaustive,7,24,3.1622776601683795,6.151199340820312e-05
3,3,greedy,1,2,3.1622776601683795,4.935264587402344e-05
4,3,exhaustive,7,24,4.123105625617661,6.127357482910156e-05
4,3,greedy,2,4,4.123105625617661,5.817413330078125e-05
4,4,exhaustive,15,64,3.1622776601683795,8.130073547363281e-05
4,4,greedy,1,2,3.1622776601683795,5.054473876953125e-05
4,5,exhaustive,31,160,4.123105625617661,0.00013637542724609375
4,5,greedy,4,8,4.123105625617661,6.556510925292969e-05
4,6,exhaustive,31,160,4.123105625617661,0.00014495849609375
4,6,greedy,4,8,4.123105625617661,6.389617919921875e-05
5,4,exhaustive,15,64,4.47213595499958,0.00011420249938964844
5,4,greedy,5,12,4.47213595499958,6.985664367675781e-05
5,5,exhaustive,31,160,4.47213595499958,0.00015544891357421875
5,5,greedy,6,14,4.47213595499958,7.557868957519531e-05
5,6,exhaustive,63,384,4.47213595499958,0.00023889541625976562
5,6,greedy,7,16,4.47213595499958,9.107589721679688e-05
5,7,exhaustive,127,896,5.39834563766817,0.0004074573516845703
5,7,greedy,9,22,5.39834563766817,0.0001049041748046875
5,8,exhaustive,255,2048,5.16227766016838,0.000957489013671875
5,8,greedy,11,28,5.16227766016838,0.00040984153747558594
5,9,exhaustive,511,4608,5.16227766016838,0.0015518665313720703
5,9,greedy,12,30,5.16227766016838,0.00013113021850585938
5,10,exhaustive,1023,10240,5.16227766016838,0.0032796859741210938
5,10,greedy,13,32,5.16227766016838,0.000125885009765625
6,5,exhaustive,31,160,5.16227766016838,0.00016927719116210938
6,5,greedy,7,18,5.16227766016838,7.486343383789062e-05
6,6,exhaustive,31,160,5.16227766016838,0.00015735626220703125
6,6,greedy,7,18,5.16227766016838,8.630752563476562e-05
6,7,exhaustive,63,384,5.16227766016838,0.00025963783264160156
6,7,greedy,9,24,5.16227766016838,0.00010514259338378906
6,8,exhaustive,127,896,5.16227766016838,0.00047659873962402344
6,8,greedy,10,26,5.16227766016838,0.00010657310485839844
6,9,exhaustive,255,2048,5.16227766016838,0.0008382797241210938
6,9,greedy,12,32,5.16227766016838,0.00012612342834472656
6,10,exhaustive,511,4608,5.16227766016838,0.0016422271728515625
6,10,greedy,13,34,5.16227766016838,0.00013303756713867188
6,11,exhaustive,1023,10240,5.16227766016838,0.00416874885559082
6,11,greedy,14,36,5.16227766016838,0.00014019012451171875
6,12,exhaustive,2047,22528,5.16227766016838,0.006946086883544922
6,12,greedy,15,38,5.16227766016838,0.0001685619354248047
6,13,exhaustive,2047,22528,5.16227766016838,0.007050037384033203
6,13,greedy,15,38,5.16227766016838,0.00015020370483398438
6,14,exhaustive,4095,49152,5.60555127546399,0.014673948287963867
6,14,greedy,18,48,5.60555127546399,0.0002052783966064453
6,15,exhaustive,8191,106496,5.60555127546399,0.04192614555358887
6,15,greedy,22,62,6.123105625617661,0.00020813941955566406
7,6,exhaustive,63,384,7.0,0.0002770423889160156
7,6,greedy,10,28,7.0,9.250640869140625e-05
7,7,exhaustive,127,896,9.23606797749979,0.0008985996246337891
7,7,greedy,31,116,9.23606797749979,0.0002422332763671875
7,8,exhaustive,255,2048,8.94427190999916,0.0011699199676513672
7,8,greedy,21,68,8.94427190999916,0.0001728534698486328
7,9,exhaustive,511,4608,7.0990195135927845,0.001953125
7,9,greedy,14,38,7.0990195135927845,0.00014209747314453125
7,10,exhaustive,1023,10240,7.0990195135927845,0.003632068634033203
7,10,greedy,16,44,7.0990195135927845,0.00017523765563964844
7,11,exhaustive,2047,22528,7.335087491092574,0.0076601505279541016
7,11,greedy,35,118,7.335087491092574,0.00028014183044433594
7,12,exhaustive,4095,49152,8.359173603117451,0.01620316505432129
7,12,greedy,81,306,8.359173603117451,0.0006232261657714844
7,13,exhaustive,8191,106496,8.359173603117451,0.034247636795043945
7,13,greedy,94,356,8.359173603117451,0.0007700920104980469
7,14,exhaustive,16383,229376,8.359173603117451,0.07137942314147949
7,14,greedy,109,416,8.359173603117451,0.0009551048278808594
7,15,exhaustive,32767,491520,8.359173603117451,0.15192127227783203
7,15,greedy,124,474,8.359173603117451,0.0009887218475341797
7,16,exhaustive,65535,1048576,7.841619252963779,0.3240971565246582
7,16,greedy,138,524,7.841619252963779,0.001224517822265625
7,17,exhaustive,131071,2228224,7.39834563766817,0.6670045852661133
7,17,greedy,155,590,7.39834563766817,0.0012996196746826172
